"loss","Type","epoch"
1.57962012290955,"Train",1
1.56914663314819,"Train",2
1.54983162879944,"Train",3
1.55441343784332,"Train",4
1.56175851821899,"Train",5
1.55113482475281,"Train",6
1.55470526218414,"Train",7
1.55498802661896,"Train",8
1.55618226528168,"Train",9
1.54838347434998,"Train",10
1.54912877082825,"Train",11
1.53655338287354,"Train",12
1.54542708396912,"Train",13
1.551025390625,"Train",14
1.54890441894531,"Train",15
1.54802191257477,"Train",16
1.54504239559174,"Train",17
1.54029202461243,"Train",18
1.5422625541687,"Train",19
1.53891003131866,"Train",20
1.5471043586731,"Train",21
1.54012334346771,"Train",22
1.54276895523071,"Train",23
1.5410852432251,"Train",24
1.53931152820587,"Train",25
1.54497492313385,"Train",26
1.52932739257812,"Train",27
1.53831923007965,"Train",28
1.54741883277893,"Train",29
1.53462278842926,"Train",30
1.53983199596405,"Train",31
1.54014027118683,"Train",32
1.54890561103821,"Train",33
1.5387247800827,"Train",34
1.54716265201569,"Train",35
1.54207682609558,"Train",36
1.55228614807129,"Train",37
1.54919588565826,"Train",38
1.54489302635193,"Train",39
1.54235911369324,"Train",40
1.54379117488861,"Train",41
1.54359126091003,"Train",42
1.54372847080231,"Train",43
1.53523540496826,"Train",44
1.54159128665924,"Train",45
1.53504812717438,"Train",46
1.54720771312714,"Train",47
1.54984533786774,"Train",48
1.53666293621063,"Train",49
1.54397416114807,"Train",50
1.52764165401459,"Train",51
1.53218042850494,"Train",52
1.52393436431885,"Train",53
1.52899324893951,"Train",54
1.53301513195038,"Train",55
1.53328382968903,"Train",56
1.53150820732117,"Train",57
1.53734707832336,"Train",58
1.54178249835968,"Train",59
1.53467237949371,"Train",60
1.54014050960541,"Train",61
1.53056037425995,"Train",62
1.53406190872192,"Train",63
1.53503131866455,"Train",64
1.52842390537262,"Train",65
1.53232276439667,"Train",66
1.52624809741974,"Train",67
1.51572668552399,"Train",68
1.51878201961517,"Train",69
1.52653646469116,"Train",70
1.52236533164978,"Train",71
1.53515779972076,"Train",72
1.50691080093384,"Train",73
1.51094138622284,"Train",74
1.48588919639587,"Train",75
1.51139152050018,"Train",76
1.49910938739777,"Train",77
1.49287581443787,"Train",78
1.51511979103088,"Train",79
1.48728013038635,"Train",80
1.47860050201416,"Train",81
1.4737343788147,"Train",82
1.50061595439911,"Train",83
1.49423241615295,"Train",84
