"X1","X2","mem","spl","type","loss","mod"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.803076922961274,1,1,1,"test","nll","si"
0.809230768938422,1,1,2,"test","nll","si"
0.809230768938422,1,1,2,"test","nll","si"
