"loss","Type","epoch"
1.56882274150848,"Train",1
1.56144547462463,"Train",2
1.5547856092453,"Train",3
1.55523669719696,"Train",4
1.55554068088531,"Train",5
1.55843794345856,"Train",6
1.55463528633118,"Train",7
1.55689561367035,"Train",8
1.55508959293365,"Train",9
1.55255150794983,"Train",10
1.55590355396271,"Train",11
1.55439627170563,"Train",12
1.55492472648621,"Train",13
1.55377173423767,"Train",14
1.55360198020935,"Train",15
1.55144250392914,"Train",16
1.55670940876007,"Train",17
1.55504369735718,"Train",18
1.55539488792419,"Train",19
1.55256009101868,"Train",20
1.55393195152283,"Train",21
1.55485320091248,"Train",22
1.55483615398407,"Train",23
1.55174553394318,"Train",24
1.5521821975708,"Train",25
1.55473649501801,"Train",26
1.55058562755585,"Train",27
1.54714584350586,"Train",28
1.54683721065521,"Train",29
1.54473686218262,"Train",30
1.54322564601898,"Train",31
1.54445505142212,"Train",32
1.55385804176331,"Train",33
1.54269051551819,"Train",34
1.53790426254272,"Train",35
1.53780090808868,"Train",36
1.52764308452606,"Train",37
1.52260541915894,"Train",38
1.52237093448639,"Train",39
1.52729177474976,"Train",40
1.52122581005096,"Train",41
1.53084480762482,"Train",42
1.50885462760925,"Train",43
1.51299023628235,"Train",44
1.50470066070557,"Train",45
1.51602244377136,"Train",46
1.49529719352722,"Train",47
1.52114069461823,"Train",48
1.47781097888947,"Train",49
1.48687279224396,"Train",50
1.48715209960938,"Train",51
1.49368965625763,"Train",52
1.50023055076599,"Train",53
1.46395099163055,"Train",54
1.48708546161652,"Train",55
1.44617116451263,"Train",56
1.45487308502197,"Train",57
1.46670842170715,"Train",58
1.47612285614014,"Train",59
1.47341322898865,"Train",60
1.44329237937927,"Train",61
1.4597395658493,"Train",62
1.46204817295074,"Train",63
1.45979571342468,"Train",64
1.46207714080811,"Train",65
1.443976521492,"Train",66
1.46431767940521,"Train",67
1.44222736358643,"Train",68
1.44621670246124,"Train",69
1.42776155471802,"Train",70
1.45628321170807,"Train",71
1.4470043182373,"Train",72
1.4521632194519,"Train",73
1.44264566898346,"Train",74
1.41514956951141,"Train",75
1.44603085517883,"Train",76
1.43158185482025,"Train",77
1.44473731517792,"Train",78
1.42471766471863,"Train",79
1.41022801399231,"Train",80
1.42032361030579,"Train",81
1.42851257324219,"Train",82
1.42557632923126,"Train",83
1.41293752193451,"Train",84
1.43299806118011,"Train",85
1.41171860694885,"Train",86
1.41214036941528,"Train",87
1.41888356208801,"Train",88
1.39985036849976,"Train",89
1.42395305633545,"Train",90
1.40248024463654,"Train",91
1.37932860851288,"Train",92
1.40063858032227,"Train",93
1.39853692054749,"Train",94
1.38459384441376,"Train",95
1.36852538585663,"Train",96
1.38684713840485,"Train",97
1.3975111246109,"Train",98
1.38087344169617,"Train",99
1.35619378089905,"Train",100
1.39335322380066,"Train",101
1.37167716026306,"Train",102
1.36636412143707,"Train",103
1.35340309143066,"Train",104
1.3413313627243,"Train",105
1.38736009597778,"Train",106
1.36246502399445,"Train",107
1.38906133174896,"Train",108
1.35476970672607,"Train",109
1.39122223854065,"Train",110
1.36327612400055,"Train",111
1.34954309463501,"Train",112
1.3549382686615,"Train",113
1.32778835296631,"Train",114
1.35172402858734,"Train",115
1.32365238666534,"Train",116
1.3367919921875,"Train",117
1.34476399421692,"Train",118
1.37041580677032,"Train",119
1.31653296947479,"Train",120
1.31542658805847,"Train",121
1.31124842166901,"Train",122
1.28846824169159,"Train",123
1.31154024600983,"Train",124
1.30553567409515,"Train",125
1.35886752605438,"Train",126
1.31121921539307,"Train",127
1.31208229064941,"Train",128
1.29474425315857,"Train",129
1.30259191989899,"Train",130
1.27894282341003,"Train",131
1.26896440982819,"Train",132
1.28377532958984,"Train",133
1.27486765384674,"Train",134
1.26489925384521,"Train",135
1.24246490001678,"Train",136
1.29085230827332,"Train",137
1.25038993358612,"Train",138
1.25335705280304,"Train",139
1.24567592144012,"Train",140
1.22727608680725,"Train",141
1.23801207542419,"Train",142
1.22076380252838,"Train",143
1.28211200237274,"Train",144
1.22250783443451,"Train",145
1.2193431854248,"Train",146
1.25008201599121,"Train",147
1.19538366794586,"Train",148
1.21120452880859,"Train",149
1.2079656124115,"Train",150
1.21444237232208,"Train",151
1.20880484580994,"Train",152
1.20185852050781,"Train",153
1.27634751796722,"Train",154
1.17959713935852,"Train",155
1.19407558441162,"Train",156
1.17634737491608,"Train",157
1.20180940628052,"Train",158
1.18792128562927,"Train",159
1.19537687301636,"Train",160
1.35880422592163,"Val",1
1.34749710559845,"Val",2
1.35411846637726,"Val",3
1.35356664657593,"Val",4
1.34931683540344,"Val",5
1.35049164295197,"Val",6
