"metric","lwr","med","upr","mod","method"
"brier",0.101208936275621,0.133217575068706,0.166713604552562,"cimrsbinary","trafo"
"eacc",0.117886178861789,0.16260162601626,0.207418699186992,"cimrsbinary","trafo"
"eauc",0.192384909750498,0.258944532618912,0.335862026548206,"cimrsbinary","trafo"
"nll",0.351476663997271,0.459036143606384,0.578819311558698,"cimrsbinary","trafo"
"dbrier",-0.0052847420379643,0.0267238967551199,0.060219926238976,"cimrsbinary","trafo"
"deacc",-0.0325203252032519,0.0121951219512196,0.0570121951219513,"cimrsbinary","trafo"
"deauc",0.0443930140612344,0.110952636929648,0.187870130858942,"cimrsbinary","trafo"
"dnll",0.00329823304685766,0.11085771265597,0.230640880608285,"cimrsbinary","trafo"
