"X1","X2","mem","spl","type","loss","mod"
0.916471160860542,1,1,1,"test","nll","sils"
0.498769675066473,1,1,1,"test","nll","sils"
0.92056859634851,1,1,1,"test","nll","sils"
0.955422270002148,1,1,1,"test","nll","sils"
0.90314898839565,1,1,1,"test","nll","sils"
0.208765121240687,1,1,1,"test","nll","sils"
0.901908280896144,1,1,1,"test","nll","sils"
0.903860634378257,1,1,1,"test","nll","sils"
0.855070607198771,1,1,1,"test","nll","sils"
0.9114393042303,1,1,1,"test","nll","sils"
0.923993925080796,1,1,1,"test","nll","sils"
0.922805171919248,1,1,1,"test","nll","sils"
0.625841309984454,1,1,1,"test","nll","sils"
0.765589639264641,1,1,1,"test","nll","sils"
0.916211300691134,1,1,1,"test","nll","sils"
0.318946757824783,1,1,1,"test","nll","sils"
0.487896430117601,1,1,1,"test","nll","sils"
0.943922132091482,1,1,1,"test","nll","sils"
0.882585688350329,1,1,1,"test","nll","sils"
0.947404281210263,1,1,1,"test","nll","sils"
0.932804781610389,1,1,1,"test","nll","sils"
0.935698481527491,1,1,1,"test","nll","sils"
0.905868199628893,1,1,1,"test","nll","sils"
0.89434868771248,1,1,1,"test","nll","sils"
0.95259329249326,1,1,1,"test","nll","sils"
0.885655076906098,1,1,1,"test","nll","sils"
0.251758772111063,1,1,1,"test","nll","sils"
0.726351273830402,1,1,1,"test","nll","sils"
0.814337123209247,1,1,1,"test","nll","sils"
0.923416608336255,1,1,1,"test","nll","sils"
0.942195491861886,1,1,1,"test","nll","sils"
0.872674771185393,1,1,1,"test","nll","sils"
0.680474684957184,1,1,1,"test","nll","sils"
0.950720927222889,1,1,1,"test","nll","sils"
0.825294075348329,1,1,1,"test","nll","sils"
0.443027822361001,1,1,1,"test","nll","sils"
0.9664791905125,1,1,1,"test","nll","sils"
0.769560571279223,1,1,1,"test","nll","sils"
0.891069569889475,1,1,1,"test","nll","sils"
0.934687817389942,1,1,1,"test","nll","sils"
0.871751085759438,1,1,1,"test","nll","sils"
0.931095079978192,1,1,2,"test","nll","sils"
0.940117304073706,1,1,2,"test","nll","sils"
0.965940406803204,1,1,2,"test","nll","sils"
0.950453387418079,1,1,2,"test","nll","sils"
0.948313476483176,1,1,2,"test","nll","sils"
0.918418783918026,1,1,2,"test","nll","sils"
0.891234681914285,1,1,2,"test","nll","sils"
0.954299487882423,1,1,2,"test","nll","sils"
0.893690062120076,1,1,2,"test","nll","sils"
0.940885398839798,1,1,2,"test","nll","sils"
0.586737685738032,1,1,2,"test","nll","sils"
0.935915363460047,1,1,2,"test","nll","sils"
0.971109985859146,1,1,2,"test","nll","sils"
0.968943962722294,1,1,2,"test","nll","sils"
0.959508342162658,1,1,2,"test","nll","sils"
0.37915590356564,1,1,2,"test","nll","sils"
0.738315444210812,1,1,2,"test","nll","sils"
0.95181029956143,1,1,2,"test","nll","sils"
0.87454300451507,1,1,2,"test","nll","sils"
0.90274714620231,1,1,2,"test","nll","sils"
0.553671035945626,1,1,2,"test","nll","sils"
0.961812932413516,1,1,2,"test","nll","sils"
0.932493009324625,1,1,2,"test","nll","sils"
0.846045665058758,1,1,2,"test","nll","sils"
0.920211857531055,1,1,2,"test","nll","sils"
0.925066447463802,1,1,2,"test","nll","sils"
0.910465876727443,1,1,2,"test","nll","sils"
0.957629289532751,1,1,2,"test","nll","sils"
0.809758260436061,1,1,2,"test","nll","sils"
0.968807793613225,1,1,2,"test","nll","sils"
0.912569363015265,1,1,2,"test","nll","sils"
0.715438713575725,1,1,2,"test","nll","sils"
0.9646436442434,1,1,2,"test","nll","sils"
0.947844188753782,1,1,2,"test","nll","sils"
0.650439483243359,1,1,2,"test","nll","sils"
0.784153483934173,1,1,2,"test","nll","sils"
0.948419369115743,1,1,2,"test","nll","sils"
0.936978806471251,1,1,2,"test","nll","sils"
0.940325569844322,1,1,2,"test","nll","sils"
0.935420098062729,1,1,2,"test","nll","sils"
0.882008056100267,1,1,2,"test","nll","sils"
0.554883365711227,1,1,3,"test","nll","sils"
0.933702463671146,1,1,3,"test","nll","sils"
0.952408492322411,1,1,3,"test","nll","sils"
0.941900614208491,1,1,3,"test","nll","sils"
0.662238324758933,1,1,3,"test","nll","sils"
0.910074554414335,1,1,3,"test","nll","sils"
0.935674363751554,1,1,3,"test","nll","sils"
0.595068283588014,1,1,3,"test","nll","sils"
0.961298179870192,1,1,3,"test","nll","sils"
0.161481697731147,1,1,3,"test","nll","sils"
0.947777904974494,1,1,3,"test","nll","sils"
0.926594229630507,1,1,3,"test","nll","sils"
0.781799426311192,1,1,3,"test","nll","sils"
0.927779482586323,1,1,3,"test","nll","sils"
0.867004314076753,1,1,3,"test","nll","sils"
0.509072103682122,1,1,3,"test","nll","sils"
0.730111668619386,1,1,3,"test","nll","sils"
0.300054472008327,1,1,3,"test","nll","sils"
0.860724062160051,1,1,3,"test","nll","sils"
0.148341923904944,1,1,3,"test","nll","sils"
0.930213696409479,1,1,3,"test","nll","sils"
0.970115105489243,1,1,3,"test","nll","sils"
0.920440193179139,1,1,3,"test","nll","sils"
0.78529277984724,1,1,3,"test","nll","sils"
0.954733891275898,1,1,3,"test","nll","sils"
0.960337002228606,1,1,3,"test","nll","sils"
0.76053778718165,1,1,3,"test","nll","sils"
0.0756354491716948,1,1,3,"test","nll","sils"
0.553362828421453,1,1,3,"test","nll","sils"
0.869881264253685,1,1,3,"test","nll","sils"
0.888583849716896,1,1,3,"test","nll","sils"
0.943813587294367,1,1,3,"test","nll","sils"
0.947145610626977,1,1,3,"test","nll","sils"
0.942288110290813,1,1,3,"test","nll","sils"
0.616932510625743,1,1,3,"test","nll","sils"
0.949365591867334,1,1,3,"test","nll","sils"
0.959231909688408,1,1,3,"test","nll","sils"
0.929886917304929,1,1,3,"test","nll","sils"
0.973141920773652,1,1,3,"test","nll","sils"
0.930333663572534,1,1,3,"test","nll","sils"
0.900963603603805,1,1,3,"test","nll","sils"
0.874996708327007,1,1,4,"test","nll","sils"
0.949391708823231,1,1,4,"test","nll","sils"
0.882360330907419,1,1,4,"test","nll","sils"
0.871594555442494,1,1,4,"test","nll","sils"
0.644347029845531,1,1,4,"test","nll","sils"
0.568115402025713,1,1,4,"test","nll","sils"
0.662908616375071,1,1,4,"test","nll","sils"
0.0545226353942013,1,1,4,"test","nll","sils"
0.948577060539594,1,1,4,"test","nll","sils"
0.940918877112457,1,1,4,"test","nll","sils"
0.950572754242442,1,1,4,"test","nll","sils"
0.94274667127499,1,1,4,"test","nll","sils"
0.925114987880813,1,1,4,"test","nll","sils"
0.953362868986213,1,1,4,"test","nll","sils"
0.630392476639136,1,1,4,"test","nll","sils"
0.922806422645733,1,1,4,"test","nll","sils"
0.900794698586619,1,1,4,"test","nll","sils"
0.257844605358502,1,1,4,"test","nll","sils"
0.919863686057637,1,1,4,"test","nll","sils"
0.960879173144841,1,1,4,"test","nll","sils"
0.338845114877852,1,1,4,"test","nll","sils"
0.918763307872955,1,1,4,"test","nll","sils"
0.963023038489107,1,1,4,"test","nll","sils"
0.974112898531735,1,1,4,"test","nll","sils"
0.964470557561224,1,1,4,"test","nll","sils"
0.910114546564501,1,1,4,"test","nll","sils"
0.831989199474764,1,1,4,"test","nll","sils"
0.74365429561733,1,1,4,"test","nll","sils"
0.943912248428977,1,1,4,"test","nll","sils"
0.95309775069186,1,1,4,"test","nll","sils"
0.916458610762306,1,1,4,"test","nll","sils"
0.944877304822322,1,1,4,"test","nll","sils"
0.937272376286719,1,1,4,"test","nll","sils"
0.826653236734184,1,1,4,"test","nll","sils"
0.937734494933059,1,1,4,"test","nll","sils"
0.966829351026796,1,1,4,"test","nll","sils"
0.303572754824259,1,1,4,"test","nll","sils"
0.96124819005362,1,1,4,"test","nll","sils"
0.932113968371561,1,1,4,"test","nll","sils"
0.244051764262106,1,1,4,"test","nll","sils"
0.946755900788118,1,1,4,"test","nll","sils"
0.934961595145388,1,1,5,"test","nll","sils"
0.90610595435644,1,1,5,"test","nll","sils"
0.843799467091979,1,1,5,"test","nll","sils"
0.831446042481628,1,1,5,"test","nll","sils"
0.885719476196894,1,1,5,"test","nll","sils"
0.909951075029957,1,1,5,"test","nll","sils"
0.919499282255583,1,1,5,"test","nll","sils"
0.856397075171451,1,1,5,"test","nll","sils"
0.850959444992754,1,1,5,"test","nll","sils"
0.82299144741972,1,1,5,"test","nll","sils"
0.899572712615853,1,1,5,"test","nll","sils"
0.960315780787372,1,1,5,"test","nll","sils"
0.629341816900131,1,1,5,"test","nll","sils"
0.225206994357258,1,1,5,"test","nll","sils"
0.187088223558271,1,1,5,"test","nll","sils"
0.751003540566914,1,1,5,"test","nll","sils"
0.787085882423745,1,1,5,"test","nll","sils"
0.924651916707076,1,1,5,"test","nll","sils"
0.756562014670234,1,1,5,"test","nll","sils"
0.955341258898071,1,1,5,"test","nll","sils"
0.904716128510032,1,1,5,"test","nll","sils"
0.559358933361587,1,1,5,"test","nll","sils"
0.915386392870817,1,1,5,"test","nll","sils"
0.950889718995598,1,1,5,"test","nll","sils"
0.897907855680904,1,1,5,"test","nll","sils"
0.921005012957714,1,1,5,"test","nll","sils"
0.89353580679154,1,1,5,"test","nll","sils"
0.625053869552903,1,1,5,"test","nll","sils"
0.949930912192706,1,1,5,"test","nll","sils"
0.870744122151627,1,1,5,"test","nll","sils"
0.587295540839008,1,1,5,"test","nll","sils"
0.948861467236212,1,1,5,"test","nll","sils"
0.937088451397605,1,1,5,"test","nll","sils"
0.915694860218374,1,1,5,"test","nll","sils"
0.815635018200512,1,1,5,"test","nll","sils"
0.849315970644985,1,1,5,"test","nll","sils"
0.757166342937069,1,1,5,"test","nll","sils"
0.668813295551398,1,1,5,"test","nll","sils"
0.544872697505904,1,1,5,"test","nll","sils"
0.933901575769781,1,1,5,"test","nll","sils"
0.665409631371501,1,1,5,"test","nll","sils"
0.946578933781354,1,1,6,"test","nll","sils"
0.853267598582588,1,1,6,"test","nll","sils"
0.789480175593966,1,1,6,"test","nll","sils"
0.950743521941432,1,1,6,"test","nll","sils"
0.929080499107487,1,1,6,"test","nll","sils"
0.95353874979839,1,1,6,"test","nll","sils"
0.914698562608894,1,1,6,"test","nll","sils"
0.884898551184551,1,1,6,"test","nll","sils"
0.611314377758488,1,1,6,"test","nll","sils"
0.867651586128936,1,1,6,"test","nll","sils"
0.935728167654219,1,1,6,"test","nll","sils"
0.920584509610601,1,1,6,"test","nll","sils"
0.903294660714272,1,1,6,"test","nll","sils"
0.954983440494493,1,1,6,"test","nll","sils"
0.527615324283147,1,1,6,"test","nll","sils"
0.590108241897132,1,1,6,"test","nll","sils"
0.96716643936806,1,1,6,"test","nll","sils"
0.909251484480056,1,1,6,"test","nll","sils"
0.930934711867982,1,1,6,"test","nll","sils"
0.919265283780748,1,1,6,"test","nll","sils"
0.834182060867654,1,1,6,"test","nll","sils"
0.503178415185108,1,1,6,"test","nll","sils"
0.79633161123,1,1,6,"test","nll","sils"
0.965492050715127,1,1,6,"test","nll","sils"
0.909897055630948,1,1,6,"test","nll","sils"
0.0441450927248659,1,1,6,"test","nll","sils"
0.51152666829759,1,1,6,"test","nll","sils"
0.915340659447744,1,1,6,"test","nll","sils"
0.598644771324458,1,1,6,"test","nll","sils"
0.898581869510645,1,1,6,"test","nll","sils"
0.0657061661080749,1,1,6,"test","nll","sils"
0.75393453727644,1,1,6,"test","nll","sils"
0.397569466618966,1,1,6,"test","nll","sils"
0.956583124761285,1,1,6,"test","nll","sils"
0.888633441122824,1,1,6,"test","nll","sils"
0.950989761016507,1,1,6,"test","nll","sils"
0.873496053721641,1,1,6,"test","nll","sils"
0.900674258364061,1,1,6,"test","nll","sils"
0.907789138305662,1,1,6,"test","nll","sils"
0.948217692076319,1,1,6,"test","nll","sils"
0.916520661602258,1,1,6,"test","nll","sils"
0.913719860252508,1,1,1,"test","rps","sils"
0.45443137275363,1,1,1,"test","rps","sils"
0.935923065626476,1,1,1,"test","rps","sils"
0.955684883114653,1,1,1,"test","rps","sils"
0.87234970522422,1,1,1,"test","rps","sils"
0.179540845666352,1,1,1,"test","rps","sils"
0.877028167451616,1,1,1,"test","rps","sils"
0.89752666575305,1,1,1,"test","rps","sils"
0.859348363358747,1,1,1,"test","rps","sils"
0.926076990848855,1,1,1,"test","rps","sils"
0.927093103560916,1,1,1,"test","rps","sils"
0.903128048419673,1,1,1,"test","rps","sils"
0.68747498429505,1,1,1,"test","rps","sils"
0.755436608499375,1,1,1,"test","rps","sils"
0.911775729848875,1,1,1,"test","rps","sils"
0.352596584295312,1,1,1,"test","rps","sils"
0.460093148706237,1,1,1,"test","rps","sils"
0.935502993701592,1,1,1,"test","rps","sils"
0.893817847984781,1,1,1,"test","rps","sils"
0.950301614494198,1,1,1,"test","rps","sils"
0.942887185227203,1,1,1,"test","rps","sils"
0.927470052525174,1,1,1,"test","rps","sils"
0.9118730365536,1,1,1,"test","rps","sils"
0.872024910265352,1,1,1,"test","rps","sils"
0.960173384018851,1,1,1,"test","rps","sils"
0.903292155248118,1,1,1,"test","rps","sils"
0.34402649690023,1,1,1,"test","rps","sils"
0.750601207419371,1,1,1,"test","rps","sils"
0.820484382616981,1,1,1,"test","rps","sils"
0.923003530297413,1,1,1,"test","rps","sils"
0.949039051104201,1,1,1,"test","rps","sils"
0.866533034918341,1,1,1,"test","rps","sils"
0.649620514953385,1,1,1,"test","rps","sils"
0.945267577890321,1,1,1,"test","rps","sils"
0.807155841275344,1,1,1,"test","rps","sils"
0.451250404417102,1,1,1,"test","rps","sils"
0.965878231429204,1,1,1,"test","rps","sils"
0.767158993633408,1,1,1,"test","rps","sils"
0.889835427448622,1,1,1,"test","rps","sils"
0.934394724081773,1,1,1,"test","rps","sils"
0.881574801796334,1,1,1,"test","rps","sils"
0.931360846847083,1,1,2,"test","rps","sils"
0.943884161227715,1,1,2,"test","rps","sils"
0.965203666175896,1,1,2,"test","rps","sils"
0.95498477075634,1,1,2,"test","rps","sils"
0.945618042469247,1,1,2,"test","rps","sils"
0.917894749774884,1,1,2,"test","rps","sils"
0.875728464601384,1,1,2,"test","rps","sils"
0.953315342062815,1,1,2,"test","rps","sils"
0.8848384782841,1,1,2,"test","rps","sils"
0.937040221527406,1,1,2,"test","rps","sils"
0.562760016408784,1,1,2,"test","rps","sils"
0.956986813534924,1,1,2,"test","rps","sils"
0.969739634636669,1,1,2,"test","rps","sils"
0.965210527881617,1,1,2,"test","rps","sils"
0.962196435010814,1,1,2,"test","rps","sils"
0.377997864182267,1,1,2,"test","rps","sils"
0.72020007070286,1,1,2,"test","rps","sils"
0.933782271674711,1,1,2,"test","rps","sils"
0.877469076640916,1,1,2,"test","rps","sils"
0.892453138242747,1,1,2,"test","rps","sils"
0.549296346806229,1,1,2,"test","rps","sils"
0.968480309457239,1,1,2,"test","rps","sils"
0.915704018154276,1,1,2,"test","rps","sils"
0.808685842106418,1,1,2,"test","rps","sils"
0.911845670611576,1,1,2,"test","rps","sils"
0.931754277130501,1,1,2,"test","rps","sils"
0.918405600659649,1,1,2,"test","rps","sils"
0.954479320809695,1,1,2,"test","rps","sils"
0.801377839550818,1,1,2,"test","rps","sils"
0.974656898047493,1,1,2,"test","rps","sils"
0.912815173428492,1,1,2,"test","rps","sils"
0.648858790867036,1,1,2,"test","rps","sils"
0.962397534011676,1,1,2,"test","rps","sils"
0.940675233445146,1,1,2,"test","rps","sils"
0.688574085643949,1,1,2,"test","rps","sils"
0.784438129870078,1,1,2,"test","rps","sils"
0.956725940009166,1,1,2,"test","rps","sils"
0.946958322738692,1,1,2,"test","rps","sils"
0.948080623748754,1,1,2,"test","rps","sils"
0.93170254609862,1,1,2,"test","rps","sils"
0.869609467361564,1,1,2,"test","rps","sils"
0.508389519975624,1,1,3,"test","rps","sils"
0.937065299536534,1,1,3,"test","rps","sils"
0.958433029347017,1,1,3,"test","rps","sils"
0.939557690581394,1,1,3,"test","rps","sils"
0.609951252482448,1,1,3,"test","rps","sils"
0.904767710676936,1,1,3,"test","rps","sils"
0.944074257456525,1,1,3,"test","rps","sils"
0.651092659047848,1,1,3,"test","rps","sils"
0.955905810913739,1,1,3,"test","rps","sils"
0.185164027293138,1,1,3,"test","rps","sils"
0.940372147071042,1,1,3,"test","rps","sils"
0.919596982662059,1,1,3,"test","rps","sils"
0.801144793787517,1,1,3,"test","rps","sils"
0.914674599223139,1,1,3,"test","rps","sils"
0.840211792857684,1,1,3,"test","rps","sils"
0.455272217273791,1,1,3,"test","rps","sils"
0.698952172660368,1,1,3,"test","rps","sils"
0.271432663492024,1,1,3,"test","rps","sils"
0.86326721810665,1,1,3,"test","rps","sils"
0.202735257151397,1,1,3,"test","rps","sils"
0.905768531675015,1,1,3,"test","rps","sils"
0.964051913695362,1,1,3,"test","rps","sils"
