"X1","X2","mem","spl","type","loss","mod"
0.981357822290478,1,1,1,"test","nll","ci"
0.682361462046652,1,1,1,"test","nll","ci"
0.944297698914496,1,1,1,"test","nll","ci"
0.950681717832471,1,1,1,"test","nll","ci"
0.955650549600462,1,1,1,"test","nll","ci"
0.81607086633443,1,1,1,"test","nll","ci"
0.871242460579647,1,1,1,"test","nll","ci"
0.732383938838173,1,1,1,"test","nll","ci"
0.951581806922036,1,1,1,"test","nll","ci"
0.947262829937262,1,1,1,"test","nll","ci"
0.935336274119557,1,1,1,"test","nll","ci"
0.960058471338014,1,1,1,"test","nll","ci"
0.905073773347401,1,1,1,"test","nll","ci"
0.713110184236472,1,1,1,"test","nll","ci"
0.888164772966357,1,1,1,"test","nll","ci"
0.706052449818849,1,1,1,"test","nll","ci"
0.865255148643168,1,1,1,"test","nll","ci"
0.941908454814242,1,1,1,"test","nll","ci"
0.945638896995268,1,1,1,"test","nll","ci"
0.572560091436925,1,1,1,"test","nll","ci"
0.94453904056607,1,1,1,"test","nll","ci"
0.905783586667717,1,1,1,"test","nll","ci"
0.983378662684622,1,1,1,"test","nll","ci"
0.941118352476128,1,1,1,"test","nll","ci"
0.928386643697748,1,1,1,"test","nll","ci"
0.886701333512423,1,1,1,"test","nll","ci"
0.957969715331433,1,1,1,"test","nll","ci"
0.948008036494974,1,1,1,"test","nll","ci"
0.944380259486617,1,1,1,"test","nll","ci"
0.756506562362228,1,1,1,"test","nll","ci"
0.969282982505144,1,1,1,"test","nll","ci"
0.822922623585702,1,1,1,"test","nll","ci"
0.72212741260011,1,1,1,"test","nll","ci"
0.930765764217508,1,1,1,"test","nll","ci"
0.839844186447262,1,1,1,"test","nll","ci"
0.515120528667125,1,1,1,"test","nll","ci"
0.9787309746434,1,1,1,"test","nll","ci"
0.433562475867734,1,1,1,"test","nll","ci"
0.969383437967201,1,1,1,"test","nll","ci"
0.665928061939765,1,1,1,"test","nll","ci"
0.945829373052818,1,1,1,"test","nll","ci"
0.943357576164876,1,2,1,"test","nll","ci"
0.877326641839258,1,2,1,"test","nll","ci"
0.933650030258672,1,2,1,"test","nll","ci"
0.929648013472261,1,2,1,"test","nll","ci"
