"","bin","prop","lwr","upr","cases","midpoint","spl","method","mod","weights"
"46","(0.0637,0.121]",0,0,0.308497107818761,0,0.0921915490509207,"6","log-linear","cilsmrsbl","equal"
"47","(0.121,0.226]",0.2,0.0252107263268334,0.556095462307641,2,0.173490250116629,"6","log-linear","cilsmrsbl","equal"
"48","(0.226,1]",0.4,0.121552258119827,0.737621923393055,4,0.613148147715295,"6","log-linear","cilsmrsbl","equal"
"49","[0,0.0284]",0,0,0.284914152918154,0,0.0142154926431102,"1","trafo","cilsmrsbl","equal"
"50","(0.0284,0.0557]",0,0,0.308497107818761,0,0.0420513161366181,"1","trafo","cilsmrsbl","equal"
"51","(0.0557,0.125]",0.1,0.00252857854446179,0.445016117028195,1,0.0901847025586598,"1","trafo","cilsmrsbl","equal"
"52","(0.125,1]",0.3,0.0667395111777345,0.652452850059997,3,0.562348879065152,"1","trafo","cilsmrsbl","equal"
"53","[0,0.0447]",0,0,0.284914152918154,0,0.0223494942168587,"2","trafo","cilsmrsbl","equal"
"54","(0.0447,0.0843]",0,0,0.308497107818761,0,0.0645101370177319,"2","trafo","cilsmrsbl","equal"
"55","(0.0843,0.167]",0.1,0.00252857854446179,0.445016117028195,1,0.125685195407596,"2","trafo","cilsmrsbl","equal"
"56","(0.167,1]",0.4,0.121552258119827,0.737621923393055,4,0.583524552606723,"2","trafo","cilsmrsbl","equal"
"57","[0,0.0333]",0.0909090909090909,0.00229897221381427,0.412779916988383,1,0.0166339514596534,"3","trafo","cilsmrsbl","equal"
"58","(0.0333,0.0672]",0.2,0.0252107263268334,0.556095462307641,2,0.0502275895877828,"3","trafo","cilsmrsbl","equal"
"59","(0.0672,0.183]",0.2,0.0252107263268334,0.556095462307641,2,0.125053911238806,"3","trafo","cilsmrsbl","equal"
"60","(0.183,1]",0.4,0.121552258119827,0.737621923393055,4,0.591460273110677,"3","trafo","cilsmrsbl","equal"
"61","[0,0.0794]",0.181818181818182,0.0228311982999597,0.517755852360173,2,0.0396903803079631,"4","trafo","cilsmrsbl","equal"
"62","(0.0794,0.106]",0.2,0.0252107263268334,0.556095462307641,2,0.092503868006628,"4","trafo","cilsmrsbl","equal"
"63","(0.106,0.14]",0.3,0.0667395111777345,0.652452850059997,3,0.122831852229488,"4","trafo","cilsmrsbl","equal"
