"","bin","prop","lwr","upr","cases","midpoint","spl","method","mod","weights"
"1257","[0,0.374]",0.166666666666667,0.033252530203154,0.489180320442393,1.83333333333333,0.0525073015473742,"3",NA,"sils","tuned"
"1258","(0.374,0.465]",0.183333333333333,0.0556415021490099,0.505353780118263,1.83333333333333,0.120843282939369,"3",NA,"sils","tuned"
"1259","(0.465,0.788]",0.25,0.0798689537062795,0.575157813388017,2.5,0.223868336541447,"3",NA,"sils","tuned"
"1260","(0.788,1]",0.433333333333333,0.164638600472728,0.743285515456048,4.33333333333333,0.655532355149452,"3",NA,"sils","tuned"
"1261","[0,0.401]",0.151515151515152,0.0298304925221298,0.471684331213761,1.66666666666667,0.0555602161670069,"4",NA,"sils","tuned"
"1262","(0.401,0.508]",0.116666666666667,0.0248819271651871,0.444037471030862,1.16666666666667,0.129969340605259,"4",NA,"sils","tuned"
"1263","(0.508,0.721]",0.366666666666667,0.120051321027549,0.69461952325912,3.66666666666667,0.199193372286043,"4",NA,"sils","tuned"
"1264","(0.721,1]",0.433333333333333,0.16149749429464,0.745739175043896,4.33333333333333,0.624784247847791,"4",NA,"sils","tuned"
"1265","[0,0.418]",0.0606060606060606,0.0104194510644535,0.360363181372237,0.666666666666667,0.0641292823010357,"5",NA,"sils","tuned"
"1266","(0.418,0.549]",0.0833333333333333,0.0153250395840946,0.40708945727378,0.833333333333333,0.155575979631593,"5",NA,"sils","tuned"
"1267","(0.549,0.725]",0.216666666666667,0.101654204424491,0.50761611032958,2.16666666666667,0.2336739881001,"5",NA,"sils","tuned"
"1268","(0.725,1]",0.35,0.128254457597358,0.663773529900359,3.5,0.642227290769543,"5",NA,"sils","tuned"
"1269","[0,0.412]",0.0606060606060606,0.0104194510644535,0.360363181372237,0.666666666666667,0.0612249455629765,"6",NA,"sils","tuned"
"1270","(0.412,0.503]",0.1,0.00252857854446179,0.445016117028195,1,0.139949213041162,"6",NA,"sils","tuned"
"1271","(0.503,0.716]",0.166666666666667,0.0431471161190094,0.495398878551085,1.66666666666667,0.213073847839597,"6",NA,"sils","tuned"
"1272","(0.716,1]",0.366666666666667,0.149517160356888,0.666137502308891,3.66666666666667,0.634349580361411,"6",NA,"sils","tuned"
