"metric","lwr","med","upr","mod","method"
"brier",0.0717395687484046,0.0973731502078426,0.126005118958924,"cils","trafo"
"eacc",0.0975609756097561,0.142276422764228,0.186991869918699,"cils","trafo"
"eauc",0.0865177160578139,0.145767195767196,0.20769228592758,"cils","trafo"
"nll",0.246631813207011,0.329969073422395,0.424034869980069,"cils","trafo"
"dbrier",-0.0347541095651811,-0.00912052810574309,0.0195114406453387,"cils","trafo"
"deacc",-0.0528455284552844,-0.00813008130081287,0.0365853658536587,"cils","trafo"
"deauc",-0.0614741796314499,-0.00222469992206809,0.0597003902383162,"cils","trafo"
"dnll",-0.101546617743402,-0.0182093575280191,0.0758564390296554,"cils","trafo"
