"V2","V3","V4","V5","V6","V7","V8","mem","spl","type","loss","mod"
0.086920135163235,0.205246536268889,0.402505121918209,0.614397111183874,0.744708651699877,0.804707224581632,1,1,1,"val","nll","cils"
0.637777864348181,0.790635449958497,0.902203133663113,0.948361935419273,0.976818990102652,0.984602572540302,1,1,1,"val","nll","cils"
0.619954815113341,0.823939485843032,0.950739190310793,0.982819962830237,0.991544042816306,0.99381428260667,1,1,1,"val","nll","cils"
0.682076892482325,0.918129725014947,0.986768885186336,0.995714289459709,0.998908523512625,0.999256658851311,1,1,1,"val","nll","cils"
0.398197062652498,0.723522121796036,0.894097938619652,0.956731218147786,0.972859446759968,0.979152614880647,1,1,1,"val","nll","cils"
0.530140873506096,0.761615804910537,0.9197253353406,0.966039267194346,0.986083454382299,0.990687998810787,1,1,1,"val","nll","cils"
0.0532227962875882,0.123643174950891,0.177724988949534,0.257981064502877,0.365697440397321,0.393783920763709,1,1,1,"val","nll","cils"
0.470190179821583,0.760051579321804,0.877693588517536,0.946610871413973,0.961717436037272,0.969238993812233,1,1,1,"val","nll","cils"
0.54142807653314,0.801903417803603,0.941602026062618,0.975315497211013,0.992502196419878,0.994952421209471,1,1,1,"val","nll","cils"
0.485114381329464,0.775693568547411,0.895641131142644,0.950850672589607,0.970046527423961,0.9768708631342,1,1,1,"val","nll","cils"
0.683316937542435,0.898669381990304,0.981580008581565,0.99521748141624,0.998130934578504,0.998716511035834,1,1,1,"val","nll","cils"
0.328301071808016,0.579997416639058,0.772787857006563,0.89020067864275,0.928744517175426,0.945551275716634,1,1,1,"val","nll","cils"
0.172519083401949,0.493230816083837,0.779873000029346,0.906615563192275,0.955883023496912,0.96524819996767,1,1,1,"val","nll","cils"
0.523462887451236,0.914886799941013,0.980201401995747,0.993442784679662,0.997215617904724,0.997640512460134,1,1,1,"val","nll","cils"
0.834235844646261,0.943652767738754,0.981563648536892,0.992777668209787,0.995950243909152,0.996952763317902,1,1,1,"val","nll","cils"
0.54876749326989,0.69448816947413,0.865402184696911,0.926812860630935,0.980898346003489,0.987197558653538,1,1,1,"val","nll","cils"
0.617376762832261,0.878113012719957,0.967720200690942,0.989059738198742,0.994941711190849,0.996302101861728,1,1,1,"val","nll","cils"
0.429124076455854,0.846176676408178,0.9823519548685,0.996338212006658,0.99866361294528,0.999052718418656,1,1,1,"val","nll","cils"
0.423162364554947,0.818238471394225,0.979147465809269,0.995020769758659,0.998772148934094,0.999158195608043,1,1,1,"val","nll","cils"
0.422846502603963,0.76994613793056,0.918098303421525,0.968367878041577,0.980316842860496,0.985259527988902,1,1,1,"val","nll","cils"
0.692879016844235,0.898201290874498,0.983219665883705,0.995125993934122,0.998670020969334,0.999180862976597,1,1,1,"val","nll","cils"
0.739094864685306,0.938123408792566,0.987057771847658,0.996073881152527,0.997682795831084,0.998243965285324,1,1,1,"val","nll","cils"
0.0573951122708128,0.11143233915632,0.283366987240242,0.471455947269432,0.758791351469613,0.824875705401576,1,1,1,"val","nll","cils"
0.646658877143079,0.821843267203319,0.929181852770341,0.961785209819576,0.988553986057937,0.991443439303944,1,1,1,"val","nll","cils"
0.744891952848257,0.897623330405373,0.971471473028662,0.98941443965053,0.996370323424228,0.997435429891616,1,1,1,"val","nll","cils"
0.519472453506526,0.802145504686672,0.962108495790523,0.9877967889214,0.997613860223033,0.998396000904541,1,1,1,"val","nll","cils"
0.66399006198698,0.86753396261486,0.965861930858542,0.985959835267917,0.996346666368352,0.997547845791155,1,1,1,"val","nll","cils"
0.304270057453056,0.670216558148992,0.843603859515532,0.939051109423573,0.958682311540194,0.966122888365209,1,1,1,"val","nll","cils"
0.112012132844274,0.341349472876286,0.640013038777122,0.764609566561427,0.905599074945852,0.91662277791129,1,1,1,"val","nll","cils"
0.407109688571808,0.815366522553036,0.977113920292755,0.994587701082171,0.998211894503855,0.998708234655791,1,1,1,"val","nll","cils"
0.531317704301497,0.908372379950774,0.992454478837197,0.99862069765948,0.999572707317711,0.99970286259686,1,1,1,"val","nll","cils"
0.803251329021519,0.966192629360119,0.995345771417513,0.998875753540521,0.999488508369647,0.999625546343978,1,1,1,"val","nll","cils"
0.472437242094113,0.695056060349924,0.863161339063516,0.920690589353191,0.97880967096417,0.985326641900349,1,1,1,"val","nll","cils"
0.0831048030416582,0.130017361438063,0.274944275463173,0.439041982657888,0.625593029685407,0.669577335114829,1,1,1,"val","nll","cils"
0.646818466838249,0.920868502708871,0.991277369278543,0.997798418352833,0.999244818774911,0.999466790852444,1,1,1,"val","nll","cils"
0.122780713846859,0.330177153350391,0.561801099947641,0.789659122917066,0.864358456301417,0.889058600598288,1,1,1,"val","nll","cils"
0.667970470596192,0.838555816286486,0.935844462758577,0.968834898723738,0.986009424448822,0.990238645159261,1,1,1,"val","nll","cils"
0.716348332877607,0.920518945885651,0.984316170082544,0.995498650531535,0.997601117632277,0.998252342135353,1,1,1,"val","nll","cils"
0.459575044041761,0.795262781359085,0.96276202108027,0.989124664613637,0.996293405426852,0.997480872324178,1,1,1,"val","nll","cils"
0.16354557593857,0.310505950203002,0.563120541702344,0.729919238684831,0.879206764823282,0.91613546391105,1,1,1,"val","nll","cils"
0.0589319024492922,0.0869476423679379,0.123706663020121,0.172707782595855,0.26378382077448,0.309541797737043,1,1,1,"val","nll","cils"
0.105031576657958,0.161407746191202,0.338767569783811,0.597457091486719,0.803921406730997,0.860114554395445,1,2,1,"val","nll","cils"
0.681822988479757,0.799957148580028,0.922983690843426,0.971153593834449,0.990986475503573,0.993939492451132,1,2,1,"val","nll","cils"
0.729319714107683,0.81540413938995,0.945598012884181,0.987723441833189,0.997686987727872,0.9983197152749,1,2,1,"val","nll","cils"
0.703744451796671,0.892940606407433,0.978386520132308,0.993124869695737,0.998934927117195,0.999269273411989,1,2,1,"val","nll","cils"
0.435358604276706,0.754871699570791,0.955647252794671,0.994810914541181,0.998608201270385,0.998909513386549,1,2,1,"val","nll","cils"
0.49485920604005,0.66245076726578,0.876161620502841,0.954852137808615,0.988592370018921,0.992369171044231,1,2,1,"val","nll","cils"
0.0839396154620119,0.171846505575352,0.375096003245705,0.680457039931344,0.828086089281368,0.857867642569423,1,2,1,"val","nll","cils"
0.597933005392056,0.831162974850088,0.959759175920694,0.994109806901547,0.997600093569052,0.998086068987043,1,2,1,"val","nll","cils"
0.53213445061144,0.750575699515926,0.911048541031801,0.958342669904152,0.98986757686938,0.99334088352693,1,2,1,"val","nll","cils"
0.536954973725267,0.727104473950408,0.891772941263242,0.966314768716677,0.985617313767461,0.989520773478823,1,2,1,"val","nll","cils"
0.777532648159095,0.873196131039909,0.971053418876764,0.996134764853959,0.999131365977194,0.999388137515067,1,2,1,"val","nll","cils"
0.312225338371572,0.449124609810528,0.665962656697138,0.814268064665665,0.898876691463914,0.921176214426421,1,2,1,"val","nll","cils"
0.167912670691302,0.49503396390492,0.854261782603369,0.949408105463148,0.986405680941228,0.989491376363735,1,2,1,"val","nll","cils"
0.639530261875928,0.955067518011222,0.997182622709303,0.999750769911087,0.9999479131632,0.999954036753215,1,2,1,"val","nll","cils"
0.881156206241027,0.937745817848138,0.978890276113525,0.993825994439582,0.997493690769763,0.998120634889632,1,2,1,"val","nll","cils"
0.669651004218944,0.730799694946344,0.857418549549846,0.931888019047938,0.980200816395582,0.987488244206341,1,2,1,"val","nll","cils"
0.684065666242598,0.867481766089476,0.965420436037691,0.988173684814903,0.996662399762086,0.99757210546449,1,2,1,"val","nll","cils"
0.490468040263546,0.78644557408084,0.971449359108283,0.996148528302118,0.999545223330093,0.999671827927379,1,2,1,"val","nll","cils"
0.435401550074263,0.778270314818528,0.974222056612601,0.994762233835734,0.999514413855055,0.999635179566172,1,2,1,"val","nll","cils"
0.41780554746629,0.674108677888617,0.882041465584409,0.973475139936188,0.988267790367467,0.991282086523423,1,2,1,"val","nll","cils"
0.669422961335982,0.794650519734755,0.960993317620373,0.986427718343034,0.998332212749439,0.99882439565757,1,2,1,"val","nll","cils"
0.751282518448693,0.943292495465478,0.991780133468205,0.99869995690456,0.999663618890129,0.999742588486906,1,2,1,"val","nll","cils"
0.0618602677875659,0.139625674430936,0.437214229580895,0.682026482270473,0.938046010113253,0.956519510840953,1,2,1,"val","nll","cils"
0.68535392270127,0.818778744726115,0.927751336717722,0.966831056212568,0.98808589796411,0.991248768329792,1,2,1,"val","nll","cils"
0.788923032066573,0.861861025302792,0.944898742673126,0.9837895350934,0.993873453343832,0.995662004446168,1,2,1,"val","nll","cils"
0.546067938885413,0.714108004228909,0.92275038007878,0.980536439484777,0.996984035941621,0.997870727438122,1,2,1,"val","nll","cils"
0.69015244728879,0.85548405110809,0.965051672586107,0.98850134308817,0.99805759492963,0.99871792578816,1,2,1,"val","nll","cils"
0.355989815313353,0.514487471922813,0.724541379406851,0.925746163426582,0.958796278439971,0.967782631974937,1,2,1,"val","nll","cils"
0.249742654056298,0.608280603706779,0.920528600389717,0.968702202878377,0.993847300937644,0.994909638791592,1,2,1,"val","nll","cils"
