"metric","lwr","med","upr","mod","method"
"brier",0.0864036213726542,0.113318527655513,0.144663537514223,"cilsmrsbl","trafo"
"eacc",0.105691056910569,0.150406504065041,0.195223577235772,"cilsmrsbl","trafo"
"eauc",0.137662120658444,0.197598043403964,0.25951868459876,"cilsmrsbl","trafo"
"nll",0.292540813915246,0.368252589926978,0.46020048589521,"cilsmrsbl","trafo"
"dbrier",-0.0200900569409315,0.00682484934192728,0.0381698592006376,"cilsmrsbl","trafo"
"deacc",-0.0447154471544714,1.22585149225484e-16,0.0448170731707318,"cilsmrsbl","trafo"
"deauc",-0.0103297750308196,0.0496061477147006,0.111526788909496,"cilsmrsbl","trafo"
"dnll",-0.0556376170351676,0.020074158976564,0.112022054944796,"cilsmrsbl","trafo"
